,Country Name,2016,2017,per
142,卢森堡,100738.6842,104103.0367,0.032317525085221586
144,中国澳门特别行政区,74017.18471,80892.82132999999,0.08499687001830514
35,瑞士,79866.03187,80189.69686,0.004036241595538939
175,挪威,70890.03557000001,75504.56626,0.0611159154813215
112,冰岛,60529.92676,70056.87339,0.13598874983992476
109,爱尔兰,64100.42995,69330.69015,0.07543932115321655
198,卡塔尔,59324.33877,63505.80525,0.06584384629939002
249,美国,57588.53807,59531.661960000005,0.032640175429767264
168,北美,56058.643520000005,58070.066139999995,0.03463785653611433
206,新加坡,55243.13288,57714.29663,0.04281718558994764
56,丹麦,53578.75657,56307.5083,0.04846159619533375
11,澳大利亚,49896.6811,53799.938089999996,0.07255132865525561
221,瑞典,51844.76126,53442.00828,0.029887481241938133
210,圣马力诺,47908.56141,49664.02557,0.035346795590013545
174,荷兰,45637.88675,48223.15549,0.05361052618251215
12,奥地利,44731.01086,47290.91165,0.05413092496388785
94,中国香港特别行政区,43737.04197,46193.614519999996,0.053179916218428824
73,芬兰,43433.03222,45703.32787,0.04967462449250307
33,加拿大,42348.94546,45032.11991,0.05958356958016899
53,德国,42232.57421,44469.909060000005,0.050311208124606994
15,比利时,41260.97755,43323.80734,0.04761423145041611
178,新西兰,40331.9591,42940.57829,0.06074951232334691
196,人口紅利之後,41039.39856,42521.32043,0.034851266494406896
93,高收入国家,39675.03736,41211.11695,0.03727342774678183
6,阿拉伯联合酋长国,38517.80039,40698.84934,0.053589941371055085
113,以色列,37180.84981,40270.25135,0.07671671858089853
79,英国,40412.03362,39720.44343,-0.017411441823876
4,安道尔共和国,37231.815669999996,39146.548839999996,0.048911927787706345
75,法国,36870.21913,38476.658639999994,0.041751013907687824
117,日本,38972.340639999995,38428.09732,-0.014162640306334951
179,经合组织成员,36911.56276,38195.537019999996,0.03361581902429279
66,欧洲货币联盟,35038.55124,36869.054430000004,0.04964876963349892
71,欧洲联盟,32259.867260000003,33715.127360000006,0.04316341695705826
114,意大利,30668.98143,31952.975919999997,0.04018387812185969
21,巴哈马,30260.305910000003,30762.01244,0.01630928831390837
124,大韩民国,27608.24743,29742.838860000003,0.07176824781412287
125,科威特,27368.28668,29040.36371,0.05757768899513553
29,文莱达鲁萨兰国,26939.41805,28290.5852,0.04776031108752042
68,西班牙,26616.7578,28156.81584,0.05469574573884062
157,马耳他,24770.806569999997,26945.98388,0.08072361802362968
51,塞浦路斯,23666.97357,25233.57098,0.062083856907992896
20,巴林,22560.58127,23655.0356,0.046267287376223626
220,斯洛文尼亚,21650.21276,23597.29173,0.08251281512634849
63,欧洲与中亚地区,22245.27367,23416.107819999997,0.05000122817165944
192,葡萄牙,19871.718969999998,21136.29721,0.05982969615897081
203,沙特阿拉伯,19982.08563,20760.90601,0.03751379538180364
52,捷克共和国,18483.716480000003,20368.13856,0.09251812945247348
69,爱沙尼亚,17736.8027,19704.65504,0.09986738341804542
87,希腊,17881.5267,18613.42387,0.039320931770088156
219,斯洛伐克共和国,16529.54097,17604.95098,0.061085657734674545
123,圣基茨和尼维斯,16596.826569999997,17090.15234,0.0288660838233349
28,巴巴多斯,15891.62655,16788.68392,0.05343226272378345
141,立陶宛,14912.68654,16680.6781,0.10599038896386355
248,乌拉圭,15298.35089,16245.59837,0.0583079464619314
240,特立尼达和多巴哥,16352.109730000002,16145.18457,-0.012816524896500611
180,阿曼,15102.382309999999,15668.36663,0.03612273910646941
143,拉脱维亚,14070.42265,15594.28602,0.09771934207475817
224,塞舌尔,15060.99099,15504.46446,0.02860295311354463
37,智利,13960.894209999999,15346.4497,0.09028508333103263
183,巴拿马,14332.97248,15087.681630000001,0.05002154529158106
10,安提瓜和巴布达,14462.176280000001,15021.73818,0.037250143311977145
7,阿根廷,12654.355,14401.97485,0.12134584792723763
99,匈牙利,12820.0882,14224.846459999999,0.0987538434210979
34,中歐和波羅的海,12748.92339,14122.33585,0.09725108329016263
188,波兰,12415.043290000001,13811.66424,0.10111894741513051
186,帕劳,14077.09622,13417.29026,-0.0491757983329191
97,克罗地亚,12298.57035,13294.51493,0.07491394648424374
181,其他小国,12142.24577,13134.4241,0.07554029947913747
216,小国,11129.10653,11933.395559999999,0.06739817061758405
46,哥斯达黎加,11732.71055,11630.6684,-0.008773541338346411
199,罗马尼亚,9532.167174,10813.7166,0.1185114677408875
200,俄罗斯联邦,8759.036118,10743.096590000001,0.18468236372805438
257,世界,10200.8606,10714.46595,0.04793569295910636
165,毛里求斯,9681.618567,10547.21683,0.0820688791130124
242,土耳其,10862.72538,10540.618,-0.030558680714925773
150,马尔代夫,9871.906911,10535.7947,0.06301259733164698
88,格林纳达,9841.76405,10376.22703,0.05150841230196177
61,东亚与太平洋地区,9793.321179999999,10369.69141,0.05558219692479745
167,马来西亚,9508.23775,9944.9043,0.04390857235297879
86,赤道几内亚,9217.889528,9850.013584999999,0.06417494265821352
27,巴西,8639.365743,9821.407686,0.12035361740302775
131,圣卢西亚,9364.821525,9574.302496,0.021879502040751155
47,加勒比小国,9355.868253,9517.932644,0.01702726811185867
132,拉丁美洲与加勒比海地区,8406.715811,9244.407597,0.09061605919148866
234,拉丁美洲与加勒比海地区 (IBRD与IDA),8260.906648999999,9083.073054999999,0.09051632647030387
140,後期人口紅利,8155.012927,8977.541852,0.09162072854238591
152,墨西哥,8443.691923999999,8902.830823,0.05157223675573391
118,哈萨克斯坦,7714.841844,8837.457301999999,0.12702923698946086
38,中国,8117.267465000001,8826.994095999999,0.08040411302887518
247,中高等收入国家,7864.504365000001,8605.07597,0.08606218092459202
128,黎巴嫩,8257.294391,8523.74955,0.03126032240119033
229,欧洲与中亚地区 (IBRD与IDA),7611.315282,8477.829538,0.10220944548555046
177,瑙魯,7821.298918,8343.827999,0.06262462278256736
126,拉丁美洲与加勒比海地区（不包括高收入）,7583.379431,8313.226892,0.08779352115390336
19,保加利亚,7469.447703,8031.598442,0.06999238608099732
130,利比亚,5125.675283,7998.028819,0.3591326814397667
62,欧洲与中亚地区（不包括高收入）,7122.575846,7942.560389,0.10323932118106814
160,黑山,7028.940132,7669.571906,0.0835290133336942
55,多米尼克,7906.721742000001,7609.6143489999995,-0.03904368597063593
31,博茨瓦纳,6954.174306,7595.59585,0.08444650777463361
233,土库曼斯坦,6389.334143,7355.8313450000005,0.13139197415897255
151,中东与北非地区,7195.352317,7349.947862999999,0.02103355681993898
78,加蓬,7078.68326,7220.687234999999,0.01966626864984267
228,东亚与太平洋地区 (IBRD与IDA),6648.953715,7202.9033549999995,0.07690643795955802
251,圣文森特和格林纳丁斯,6982.256556,7185.179118999999,0.028241823848678252
59,东亚与太平洋地区（不包括高收入）,6579.330827000001,7127.72037,0.07693757815024936
57,多米尼加共和国,6793.538125,7052.258839,0.0366862192535018
231,泰国,5979.293546,6593.819806,0.09319730870425313
184,秘鲁,6031.366091,6571.928645,0.08225325976587808
43,哥伦比亚,5756.861602,6301.589878,0.08644299082391027
5,阿拉伯联盟国家,6151.180927,6251.141575,0.015990782931515884
64,厄瓜多尔,6018.526868,6198.947322999999,0.02910501502901697
261,南非,5280.0176329999995,6160.734569,0.1429564812663171
100,只有IBRD,5538.236651,6039.831956,0.08304789084433259
218,苏里南,5871.442003,5900.5564859999995,0.00493419274420609
212,塞尔维亚,5426.198279,5900.038108,0.08031131669429542
23,白俄罗斯,5022.626643,5726.029673,0.1228430640722599
74,斐济,5197.50914,5589.388833,0.07011136721895689
155,马其顿王国,5163.250253,5442.609944,0.05132825866163149
110,伊朗伊斯兰共和国,5219.109805,5415.209635,0.036212786432597656
169,纳米比亚,4560.7020600000005,5227.18001,0.1275023911028462
22,波斯尼亚和黑塞哥维那,4808.6360429999995,5180.636301,0.07180590112612116
154,中等收入国家,4766.370137,5169.129266,0.07791624242193985
111,伊拉克,4609.600694,5165.714157,0.10765471067469298
115,牙买加,4878.575790999999,5109.552649,0.04520490811366937
24,伯利兹,4960.181794,4905.506284,-0.011145742525767811
101,IBRD与IDA,4464.060882,4838.785782,0.07744192797167315
92,圭亚那,4531.2435270000005,4725.319063,0.041071414101883974
138,中低收入国家,4299.173841,4654.583479,0.07635691563025893
3,阿尔巴尼亚,4131.872340999999,4537.862492,0.08946726607863041
90,危地马拉,4140.737635,4470.9895719999995,0.07386551269728596
193,巴拉圭,4077.742071,4365.526162,0.06592197144642836
258,萨摩亚,4030.0131439999996,4360.75395,0.07584486760597917
2,安哥拉,3308.772828,4170.31228,0.20658871426290407
13,阿塞拜疆,3880.7387310000004,4131.61831,0.0607218673595237
116,约旦,4087.9375170000003,4129.751671,0.010125101296920012
58,阿尔及利亚,3916.881571,4123.389937,0.05008218217417647
80,格鲁吉亚,3865.7856939999997,4078.254879,0.05209806432012372
136,斯里兰卡,3857.3963630000003,4065.224874,0.05112349684004214
195,太平洋岛国,3778.8293240000003,4004.383909,0.05632691323453219
237,汤加,3748.6417939999997,3944.246001,0.04959229392649648
8,亚美尼亚,3605.743117,3936.7983200000003,0.0840924975298202
259,科索沃,3697.548026,3893.9698240000002,0.0504425578209104
209,萨尔瓦多,3768.837705,3889.3087689999998,0.030974929262552426
104,印度尼西亚,3570.284615,3846.864323,0.07189744289819597
236,中东与北非地区 (IBRD与IDA),3876.5126170000003,3776.5067710000003,-0.026481045067349097
159,中东与北非地区（不包括高收入）,3865.6810549999996,3768.731836,-0.025724626537211557
153,马绍尔群岛,3665.2074770000004,3753.256293,0.023459313493782646
161,蒙古,3694.0825520000003,3735.164302,0.010998646024219747
243,图瓦卢,3295.720635,3549.9747409999995,0.07162138453085952
60,早人口紅利,3291.882799,3500.7352049999995,0.05965958399301428
241,突尼斯,3688.646375,3490.828293,-0.05666794966589317
26,玻利维亚,3117.330459,3393.955818,0.08150529171090115
222,斯威士兰,2770.199475,3224.393024,0.14086172052206997
45,佛得角,3037.525642,3209.69112,0.05363926669679041
77,密克罗尼西亚联邦,3143.749107,3187.5571600000003,0.013743456446754416
256,瓦努阿图,2913.967232,3123.6145920000004,0.06711691017737452
30,不丹,2773.5471350000003,3110.230113,0.10825018270923024
194,约旦河西岸和加沙,2949.6880850000002,3094.725747,0.04686607921254346
146,摩洛哥,2892.775561,3007.242877,0.03806387467918515
185,菲律宾,2950.913903,2988.952703,0.012726464343788518
204,苏丹,2415.0381620000003,2898.5493460000002,0.16681143782052416
246,乌克兰,2185.7280309999996,2639.8243260000004,0.1720176189481787
187,巴布亚新几内亚,2461.945636,2555.853162,0.036742144422145004
95,洪都拉斯,2375.0963269999997,2480.125929,0.042348495603345665
127,老挝,2338.692157,2457.376266,0.048297084431920795
65,阿拉伯埃及共和国,3479.281246,2412.727082,-0.442053380988244
255,越南,2170.648054,2343.124575,0.07360962487451188
148,摩尔多瓦,1913.240367,2289.877719,0.1644792422210559
235,东帝汶,1987.124857,2279.253204,0.12816844854592122
173,尼加拉瓜,2143.925893,2221.8064449999997,0.03505280677138356
137,中低等收入国家,2059.584861,2188.004305,0.05869250060730576
207,所罗门群岛,2056.489935,2132.115058,0.035469531869888334
172,尼日利亚,2175.6734420000003,1968.5576809999998,-0.10521193409724655
107,印度,1717.473878,1939.612984,0.11452754123242148
54,吉布提,1872.234623,1927.589706,0.028717253898843928
217,圣多美和普林西比,1771.987941,1912.9707219999998,0.07369834748573832
202,南亚,1643.5318320000001,1840.616372,0.10707529444924434
238,南亚 (IBRD与IDA),1643.5318320000001,1840.616372,0.10707529444924434
103,IDA混合,1773.0392980000001,1717.264627,-0.03247878639265777
122,基里巴斯,1587.058145,1685.166939,0.058219035591939056
39,科特迪瓦,1535.068121,1662.442467,0.07661879946429452
42,刚果（布）,1528.24472,1658.043625,0.07828437264429644
81,加纳,1517.495508,1641.486625,0.07553586798186676
72,脆弱和受衝突影響的情況下,1449.607191,1624.618252,0.10772442128146172
239,撒哈拉以南非洲地区 (IBRD与IDA),1463.853917,1553.766532,0.05786751944274739
215,撒哈拉以南非洲地区,1463.853917,1553.766532,0.05786751944274739
213,撒哈拉以南非洲地区（不包括高收入）,1462.6079650000001,1552.506512,0.057905423458861335
182,巴基斯坦,1442.28584,1547.8534140000002,0.06820256559514243
18,孟加拉国,1358.7790289999998,1516.513423,0.1040112086103179
262,赞比亚,1262.9896820000001,1509.797013,0.16347053867167768
119,肯尼亚,1462.505115,1507.8148640000002,0.030049941860766954
250,乌兹别克斯坦,2105.870905,1504.226546,-0.3999692470524982
40,喀麦隆,1374.515899,1446.702895,0.04989759559442916
189,預人口紅利,1372.800997,1434.179695,0.042797076415169846
121,柬埔寨,1269.907238,1384.4231869999999,0.08271744512467478
102,IDA總,1263.262046,1304.158159,0.03135824648090095
158,缅甸,1195.515372,1298.881989,0.07958122283270794
120,吉尔吉斯斯坦,1120.6665130000001,1219.824048,0.08128839168450287
139,莱索托,1039.703303,1181.811759,0.1202462701168638
164,毛里塔尼亚,1101.901529,1136.763975,0.030668148152742162
105,只有IDA,1006.720479,1101.305654,0.08588458132078204
263,津巴布韦,1029.076649,1079.608291,0.046805533471028074
133,最不发达国家：联合国分类,949.2377335000001,1060.007789,0.10449928448591796
205,塞内加尔,952.7715367000001,1033.069906,0.07772791447474406
96,重债穷国 (HIPC),875.8707254000001,952.5059987,0.08045647313989969
244,坦桑尼亚,878.4033712000002,936.3307679999999,0.0618663818169006
176,尼泊尔,729.1222515,835.0798466,0.12688319030976847
16,贝宁,788.5324423999999,829.7972306,0.049728761049446804
83,几内亚,748.3013708,824.9846452,0.09295115351075393
156,马里,779.9448438,824.5162257000001,0.05405761646735306
232,塔吉克斯坦,795.8438643999999,800.9669640999999,0.006396143573482511
44,科摩罗,775.0800846,797.2863685,0.027852331078704523
70,埃塞俄比亚,712.87795,767.5634778,0.0712456094924426
98,海地,734.8025912,765.6839246000001,0.04033169877000185
134,低收入国家,702.7504932,750.4330444,0.06354004738440583
201,卢旺达,711.1957913,748.3932599999999,0.04970310488899907
85,几内亚比绍共和国,648.8989366000001,723.6586216,0.1033079448907928
17,布基纳法索,613.9931275,670.7059131,0.08455685941081643
227,乍得,651.2372437999999,669.8864259,0.027839319291989965
230,多哥,576.9594785,617.1766097,0.06516308390162234
245,乌干达,580.3835339999999,604.0427482000001,0.03916811230745303
1,阿富汗,561.7787463,585.8500637999999,0.04108784651121509
211,索马里,471.61998780000005,499.8168017,0.056414297806907716
208,塞拉利昂,480.79302110000003,499.4262954,0.03730935770027134
84,冈比亚,472.3064382,483.0224586,0.022185346062498782
41,刚果（金）,444.4103346,457.8473868,0.0293483212690469
129,利比里亚,455.3707414,456.0530154,0.0014960409798005399
149,马达加斯加,401.74226539999995,449.7223819,0.10668830022933769
32,中非共和国,382.07028110000005,418.411287,0.08685474562735677
163,莫桑比克,382.069457,415.7177167,0.08094016287567084
171,尼日尔,367.9559859,378.0603077,0.026726745956145336
166,马拉维,300.3076651,338.48364239999995,0.11278529452506254
14,布隆迪,285.7274421,320.08687010000006,0.10734407190543499
0,阿鲁巴,,,
9,美属萨摩亚,11834.74523,,
25,百慕大,,,
36,海峡群岛,,,
48,古巴,,,
49,库拉索,,,
50,开曼群岛,,,
67,厄立特里亚,,,
76,法罗群岛,,,
82,直布罗陀,,,
89,格陵兰,48159.53471,,
91,关岛,35562.56753,,
106,马恩岛,,,
108,未分类国家,,,
135,列支敦士登,,,
145,圣马丁（法属）,,,
147,摩纳哥,,,
162,北马里亚纳群岛,22572.378819999998,,
170,新喀里多尼亚,,,
190,波多黎各,30833.37247,,
191,朝鲜民主主义人民共和国,,,
197,法属波利尼西亚,,,
214,南苏丹,237.4441185,,
223,圣马丁(荷属),,,
225,阿拉伯叙利亚共和国,,,
226,特克斯科斯群岛,,,
252,委内瑞拉玻利瓦尔共和国,,,
253,英屬維爾京群島,,,
254,美属维京群岛,,,
260,也门共和国,660.280885,,
